series,episode,baker,baker_last_name,baker_age,hometown,baker_occupation,technical,result,signature_bake,show_stopper
1,4,Jasminder,Randhawa,45,Birmingham,Assistant Credit Control Manager,2,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Edd,Kimber,24,Bradford,Debt collector for Yorkshire Bank,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Ruth,Clemens,31,"Poynton, Cheshire",Retail manager/Housewife,4,IN,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,4,David,Chambers,31,Milton Keynes,Entrepreneur,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,5,Miranda,Browne,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer,1,IN,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Edd,Kimber,24,Bradford,Debt collector for Yorkshire Bank,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
1,5,Ruth,Clemens,31,"Poynton, Cheshire",Retail manager/Housewife,3,IN,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
1,5,Jasminder,Randhawa,45,Birmingham,Assistant Credit Control Manager,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,6,Miranda,Browne,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer,NA,Runner-up,Lemon Cupcake,Eliminated after signature
1,6,Ruth,Clemens,31,"Poynton, Cheshire",Retail manager/Housewife,NA,Runner-up,"Mint, Ginger and Blackberry Cake",
1,6,Edd,Kimber,24,Bradford,Debt collector for Yorkshire Bank,NA,WINNER,Cinnamon and Banana Cake,
2,1,Holly,Bell,31,Leicester,Advertising executive,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
2,1,Ben,Frazer,31,Northampton,Graphic Designer,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
2,1,Robert,Billington,25,London,Photographer,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
2,1,Mary-Anne,NA,NA,NA,NA,4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake
2,1,Yasmin,Limbert,43,"West Kirby, The Wirral",Childminder,5,IN,Cardamom and Pomegranate Cupcakes,UNKNOWN
2,1,Jason,White,19,Croydon,Civil Engineering Student,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
2,1,Urvashi,Roe,40,"Enfield, London",Head of Marketing,7,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
2,1,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
2,1,Simon,Blackwell,31,Norfolk,Rugby Coach,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
2,1,Ian,Vallance,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN
2,1,Joanne,NA,NA,NA,NA,11,IN,NA,NA
2,1,Keith,Batsford,31,"Arlesey, Bedfordshire",House husband,12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
2,2,Ben,Frazer,31,Northampton,Graphic Designer,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
2,2,Ian,Vallance,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
2,2,Jason,White,19,Croydon,Civil Engineering Student,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
2,2,Holly,Bell,31,Leicester,Advertising executive,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
2,2,Robert,Billington,25,London,Photographer,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
2,2,Yasmin,Limbert,43,"West Kirby, The Wirral",Childminder,6,IN,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
2,2,Urvashi,Roe,40,"Enfield, London",Head of Marketing,7,IN,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
2,2,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
2,2,Mary-Anne,NA,NA,NA,NA,9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
2,2,Joanne,NA,NA,NA,NA,10,IN,NA,NA
2,2,Simon,Blackwell,31,Norfolk,Rugby Coach,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,3,Joanne,NA,NA,NA,NA,1,IN,NA,NA
2,3,Yasmin,Limbert,43,"West Kirby, The Wirral",Childminder,2,STAR BAKER,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
2,3,Ben,Frazer,31,Northampton,Graphic Designer,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
2,3,Robert,Billington,25,London,Photographer,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
2,3,Mary-Anne,NA,NA,NA,NA,5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
2,3,Holly,Bell,31,Leicester,Advertising executive,6,IN,Picnic Loaf,Stilton and Walnut Rolls
2,3,Jason,White,19,Croydon,Civil Engineering Student,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN
2,3,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
2,3,Urvashi,Roe,40,"Enfield, London",Head of Marketing,9,OUT,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
2,3,Ian,Vallance,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage,10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
2,4,Jason,White,19,Croydon,Civil Engineering Student,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,Mary-Anne,NA,NA,NA,NA,2,IN,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
2,4,Holly,Bell,31,Leicester,Advertising executive,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
2,4,Ben,Frazer,31,Northampton,Graphic Designer,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
2,4,Yasmin,Limbert,43,"West Kirby, The Wirral",Childminder,6,IN,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
2,4,Robert,Billington,25,London,Photographer,7,IN,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
2,4,Joanne,NA,NA,NA,NA,8,IN,NA,NA
2,5,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie
2,5,Mary-Anne,NA,NA,NA,NA,2,IN,Chicken and Bacon Pie,Midnight Meringue
2,5,Robert,Billington,25,London,Photographer,3,OUT,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
2,5,Holly,Bell,31,Leicester,Advertising executive,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
2,5,Yasmin,Limbert,43,"West Kirby, The Wirral",Childminder,5,IN,Family Fish Pie,Peach and Raspberry Meringue Pie
2,5,Joanne,NA,NA,NA,NA,6,IN,NA,NA
2,5,Jason,White,19,Croydon,Civil Engineering Student,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie
2,6,Joanne,NA,NA,NA,NA,1,STAR BAKER,NA,NA
2,6,Yasmin,Limbert,43,"West Kirby, The Wirral",Childminder,2,OUT,Baked Amaretto Cheesecake,Rose Croquembouche
2,6,Holly,Bell,31,Leicester,Advertising executive,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
2,6,Mary-Anne,NA,NA,NA,NA,4,IN,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
2,7,Holly,Bell,31,Leicester,Advertising executive,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
2,7,Mary-Anne,NA,NA,NA,NA,2,IN,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
2,7,Joanne,NA,NA,NA,NA,3,IN,NA,NA
2,7,Janet,Basu,63,"Formby, Liverpool",Teacher of Modern Languages,4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
2,8,Joanne,NA,NA,NA,NA,1,WINNER,NA,NA
2,8,Holly,Bell,31,Leicester,Advertising executive,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
2,8,Mary-Anne,NA,NA,NA,NA,3,Runner-up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
3,1,Sarah-Jane,NA,NA,NA,NA,1,IN,"Pear, Chocolate and Hazelnut",Hidden Crown Cake
3,1,James,Morton,21,"Hillswick, Shetland Islands",Medical student,2,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
3,1,Peter,Maloney,43,"Windsor, Berkshire",Sales manager,3,IN,"Pear, Muscat & Chocolate",Jubilee Cake
3,1,Victoria,Chester,50,Somerset,CEO of the charity Plantlife,4,STAR BAKER,Pear and Pecan,Blackbird Pie Cake
3,1,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
3,1,Manisha,Parmar,27,Leicester,Nursery nurse,6,IN,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
3,1,Danny,Bryden,45,Sheffield,Intensive care consultant,7,IN,"Plum, Ginger & Orange",UNKNOWN
3,1,Ryan,Chong,38,Bristol,Photographer,8,IN,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
3,1,Stuart,Marston,26,"Lichfield, Staffordshire",PE teacher,9,IN,Tomato and Ginger,Lemon and Pistachio Union Flag Cake
3,1,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN
3,1,John,Whaite,22,Wigan,Law student,11,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
3,1,Natasha,Stringer,36,"Tamworth, Staffordshire",Midwife,12,OUT,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake
3,2,John,Whaite,22,Wigan,Law student,1,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
3,2,James,Morton,21,"Hillswick, Shetland Islands",Medical student,2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
3,2,Danny,Bryden,45,Sheffield,Intensive care consultant,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN
3,2,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
3,2,Ryan,Chong,38,Bristol,Photographer,5,IN,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
3,2,Manisha,Parmar,27,Leicester,Nursery nurse,6,IN,Indian FlatbreadsItalian Flatbreads,UNKNOWN
3,2,Victoria,Chester,50,Somerset,CEO of the charity Plantlife,7,IN,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels"
3,2,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
3,2,Stuart,Marston,26,"Lichfield, Staffordshire",PE teacher,9,IN,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
3,2,Sarah-Jane,NA,NA,NA,NA,10,IN,Toasted Coconut and Lime RotisOatcakes,UNKNOWN
3,2,Peter,Maloney,43,"Windsor, Berkshire",Sales manager,11,OUT,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
3,3,James,Morton,21,"Hillswick, Shetland Islands",Medical student,1,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
3,3,Danny,Bryden,45,Sheffield,Intensive care consultant,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
3,3,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
3,3,Victoria,Chester,50,Somerset,CEO of the charity Plantlife,4,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
3,3,Ryan,Chong,38,Bristol,Photographer,5,IN,Spiced Pear Tarte Tatin,UNKNOWN
3,3,John,Whaite,22,Wigan,Law student,6,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
3,3,Stuart,Marston,26,"Lichfield, Staffordshire",PE teacher,7,IN,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
3,3,Sarah-Jane,NA,NA,NA,NA,8,IN,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
3,3,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
3,3,Manisha,Parmar,27,Leicester,Nursery nurse,10,IN,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
3,4,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
3,4,Danny,Bryden,45,Sheffield,Intensive care consultant,2,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
3,4,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,3,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
3,4,Sarah-Jane,NA,NA,NA,NA,4,IN,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
3,4,James,Morton,21,"Hillswick, Shetland Islands",Medical student,5,IN,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
3,4,John,Whaite,22,Wigan,Law student,6,IN,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
3,4,Ryan,Chong,38,Bristol,Photographer,7,IN,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
3,4,Stuart,Marston,26,"Lichfield, Staffordshire",PE teacher,8,OUT,Black Forest Torte,Choca Blocka Mocha Meringue
3,4,Manisha,Parmar,27,Leicester,Nursery nurse,9,IN,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
3,5,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,1,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
3,5,John,Whaite,22,Wigan,Law student,2,IN,Venison and Haggis Wellington,Star-Spangled Pecan Pie
3,5,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
3,5,Sarah-Jane,NA,NA,NA,NA,4,IN,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
3,5,Manisha,Parmar,27,Leicester,Nursery nurse,5,OUT,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
3,5,James,Morton,21,"Hillswick, Shetland Islands",Medical student,6,IN,Four Pig Wellington,Sweet Potato Pie
3,5,Danny,Bryden,45,Sheffield,Intensive care consultant,7,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
3,5,Ryan,Chong,38,Bristol,Photographer,8,STAR BAKER,Curry Spiced Seabass Wellington,Key Lime Pie
3,6,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
3,6,Danny,Bryden,45,Sheffield,Intensive care consultant,2,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
3,6,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,3,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
3,6,Sarah-Jane,NA,NA,NA,NA,4,IN,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
3,6,John,Whaite,22,Wigan,Law student,5,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
3,6,Ryan,Chong,38,Bristol,Photographer,6,IN,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
3,6,James,Morton,21,"Hillswick, Shetland Islands",Medical student,7,IN,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
3,7,James,Morton,21,"Hillswick, Shetland Islands",Medical student,1,IN,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
3,7,Danny,Bryden,45,Sheffield,Intensive care consultant,2,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath
3,7,John,Whaite,22,Wigan,Law student,3,IN,Cherry and Almond Saffron Buns,Marzipan Stollen
3,7,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen
3,7,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,5,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
3,7,Ryan,Chong,38,Bristol,Photographer,6,OUT,Lardy Cakes,Char Siu Bao
3,7,Sarah-Jane,NA,NA,NA,NA,7,OUT,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
3,8,James,Morton,21,"Hillswick, Shetland Islands",Medical student,1,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
3,8,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
3,8,John,Whaite,22,Wigan,Law student,3,IN,Asian Spice Crackers,Gingerbread Roman Coliseum
3,8,Danny,Bryden,45,Sheffield,Intensive care consultant,4,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben
3,8,Cathryn,Dresser,27,"Pease Pottage, West Sussex",Shop assistant,5,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
3,9,James,Morton,21,"Hillswick, Shetland Islands",Medical student,1,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
3,9,John,Whaite,22,Wigan,Law student,2,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
3,9,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
3,9,Danny,Bryden,45,Sheffield,Intensive care consultant,4,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
3,10,James,Morton,21,"Hillswick, Shetland Islands",Medical student,1,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
3,10,Brendan,Lynch,63,Sutton Coldfield,Recruitment consultant,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
3,10,John,Whaite,22,Wigan,Law student,2,WINNER,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
4,1,Robert,Smart,54,"Melbourn, Cambridgeshire",Space Satellite Designer,1,STAR BAKER,Pecan and Apple Cake,Raspberry Chocolate Cake
4,1,Lucy,Bellamy,38,"Grimsby, Lincolnshire",Horticulturist,2,IN,Timperley Early Cake,Thyme 'Wildwood' Cake
4,1,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,3,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
